,0,1,2
705,26.625,20.583,19.0
706,54.5,36.25,61.0
707,19.625,17.0,33.0
708,40.875,23.458,32.0
709,5.0,5.583,7.0
710,5.0,5.583,7.0
711,16.625,12.375,25.0
712,12.625,11.511,16.0
713,22.25,18.125,35.0
714,39.5,38.125,65.0
715,62.875,44.5,53.0
716,7.375,7.25,8.0
717,14.375,13.083,19.0
718,30.5,23.583,27.0
719,13.125,11.25,15.0
720,53.208,41.125,88.0
721,28.625,23.278,29.0
722,51.75,41.778,78.0
723,68.125,49.75,70.0
724,27.375,18.125,31.0
725,27.875,21.333,25.0
726,6.5,4.125,8.0
727,10.0,7.25,7.0
728,18.5,15.875,28.0
729,4.375,2.75,6.0
730,43.5,34.625,57.0
731,27.875,18.625,36.0
732,25.625,22.75,31.0
733,37.375,28.375,41.0
734,74.625,54.708,108.0
735,12.625,9.5,12.0
736,8.875,4.875,13.0
737,28.278,17.472,32.0
738,29.875,22.75,46.0
739,49.25,33.903,63.0
740,8.0,6.0,12.0
741,4.125,4.125,8.0
742,9.875,5.208,19.0
743,36.875,23.75,38.0
744,10.125,6.875,16.0
745,10.5,6.375,12.0
746,10.25,7.75,17.0
747,22.5,22.625,33.0
748,30.375,20.375,23.0
749,30.5,19.125,34.0
750,23.375,21.625,38.0
751,8.375,7.75,11.0
752,4.375,3.5,2.0
753,11.0,10.375,19.0
754,27.875,25.25,37.0
755,31.875,24.5,32.0
756,39.0,29.5,55.0
757,29.375,22.125,25.0
758,8.375,7.083,6.0
759,8.375,7.625,8.0
760,7.0,5.25,6.0
761,9.375,6.875,11.0
762,6.0,4.5,8.0
763,3.125,1.5,3.0
764,9.125,7.333,10.0
765,16.0,9.125,15.0
766,19.375,15.125,26.0
767,22.25,14.208,25.0
768,8.5,6.5,6.0
769,24.5,16.0,20.0
770,30.25,22.625,19.0
771,6.0,7.625,13.0
772,6.875,6.0,8.0
773,20.625,13.875,27.0
774,7.375,6.75,11.0
775,3.875,2.125,2.0
776,8.625,7.0,11.0
777,0.0,0.0,1.0
778,2.625,1.875,5.0
779,8.125,7.375,19.0
780,11.125,7.75,16.0
781,4.625,2.5,5.0
782,9.125,6.0,4.0
783,49.5,38.625,66.0
784,25.375,18.375,21.0
785,5.75,3.5,7.0
786,38.375,37.625,48.0
787,15.5,6.75,23.0
788,72.125,55.875,74.0
789,36.5,27.583,37.0
790,55.5,48.875,74.0
791,19.375,15.333,18.0
792,40.5,32.375,40.0
793,22.875,16.958,39.0
794,45.875,36.0,57.0
795,44.5,36.583,52.0
796,41.625,37.75,46.0
797,38.625,30.25,57.0
798,57.153,47.93,66.0
799,80.069,58.972,82.0
800,16.25,13.625,14.0
801,30.625,17.833,23.0
802,67.305,49.08,63.0
803,30.375,18.625,42.0
804,42.278,25.347,45.0
805,54.625,37.75,62.0
806,52.875,38.5,51.0
807,9.25,6.625,4.0
808,14.125,11.625,20.0
809,5.75,6.25,12.0
810,49.0,29.583,33.0
811,66.375,49.125,94.0
812,27.25,20.458,27.0
813,12.25,8.25,11.0
814,52.25,36.75,61.0
815,80.75,56.875,97.0
816,70.625,48.458,56.0
817,60.5,35.6,56.0
818,58.375,47.375,70.0
819,40.375,35.75,63.0
820,59.375,48.041,64.0
821,120.73599999999999,79.96600000000001,123.0
822,42.875,30.153,55.0
823,17.625,12.375,25.0
824,53.125,47.125,68.0
825,35.375,30.125,43.0
826,38.875,32.75,53.0
827,75.875,62.625,107.0
828,42.25,33.833,44.0
829,86.125,66.458,102.0
830,28.125,22.0,31.0
831,14.5,8.0,24.0
832,11.625,8.5,13.0
833,128.0,100.5,151.0
834,32.625,22.25,50.0
835,37.875,29.875,43.0
836,6.5,3.5,6.0
837,41.75,35.5,40.0
838,26.875,31.0,28.0
839,8.25,5.125,8.0
840,49.0,28.375,63.0
841,29.25,20.208,32.0
842,10.25,8.875,11.0
843,14.875,17.125,18.0
844,34.528,23.972,34.0
845,54.0,52.5,62.0
846,17.0,11.25,26.0
847,26.875,21.0,45.0
848,34.125,23.625,36.0
849,33.75,18.75,30.0
850,33.75,18.75,29.0
851,14.875,10.125,13.0
852,16.958,13.542,15.0
853,36.0,31.0,44.0
854,14.0,11.333,25.0
855,40.5,27.791,60.0
856,17.0,13.0,10.0
857,36.5,27.761,39.0
858,15.25,13.875,24.0
859,15.25,14.75,19.0
860,39.25,22.958,36.0
861,14.5,10.75,21.0
862,39.125,31.625,58.0
863,25.125,17.125,31.0
864,23.25,10.625,41.0
865,18.375,9.125,17.0
866,48.375,37.25,59.0
867,35.0,28.375,45.0
868,21.375,17.125,21.0
869,22.0,14.833,24.0
870,32.875,23.083,49.0
871,18.75,13.625,17.0
872,15.875,11.75,18.0
873,41.625,29.208,69.0
874,14.25,11.0,15.0
875,4.5,4.625,4.0
876,23.75,16.0,21.0
877,34.25,27.75,45.0
878,3.875,1.083,7.0
879,40.75,23.458,36.0
880,15.75,13.375,10.0
881,6.375,4.375,4.0
882,36.0,30.708,46.0
883,37.0,21.139000000000003,59.0
884,21.5,15.083,21.0
885,24.5,16.458,13.0
886,6.75,2.125,10.0
887,17.375,11.125,31.0
888,15.5,11.083,29.0
889,7.75,5.875,13.0
890,18.083,17.75,18.0
891,63.625,49.583,79.0
892,21.0,13.528,28.0
893,52.125,33.375,35.0
894,39.25,30.25,39.0
895,21.375,15.583,18.0
896,66.5,45.153,87.0
897,23.375,16.375,21.0
898,42.375,29.0,33.0
899,19.0,12.5,16.0
900,6.875,5.5,14.0
901,1.125,2.0,3.0
902,18.75,11.5,10.0
903,4.0,3.625,8.0
904,47.625,34.653,42.0
905,3.5,3.75,9.0
906,14.625,11.0,20.0
907,15.5,9.25,12.0
908,59.25,42.516,69.0
909,7.875,4.25,21.0
910,40.75,29.25,48.0
911,9.5,8.125,11.0
912,15.125,11.75,19.0
913,32.0,24.111,28.0
914,9.25,4.0,15.0
915,14.125,11.625,17.0
916,46.375,38.125,55.0
917,37.875,27.25,34.0
918,33.375,24.0,34.0
919,70.0,42.236,82.0
920,35.0,28.208,31.0
921,64.0,52.625,77.0
922,32.375,20.125,35.0
923,10.875,13.75,7.0
924,56.75,51.208,80.0
925,14.708,13.875,25.0
926,13.125,11.875,11.0
927,96.625,71.375,95.0
928,17.958,18.0,13.0
929,36.0,32.375,35.0
930,33.5,21.636,34.0
931,16.903,7.5969999999999995,17.0
932,25.0,18.875,24.0
933,11.125,11.625,17.0
934,26.125,16.583,21.0
935,28.875,19.249,36.0
936,17.875,13.0,11.0
937,28.25,18.344,32.0
938,30.958,22.625,41.0
939,56.375,42.25,66.0
940,19.375,9.958,17.0
941,35.375,30.665999999999997,35.0
942,35.625,25.875,42.0
943,30.625,23.208,58.0
944,68.5,46.833,71.0
945,35.375,23.25,48.0
946,21.875,12.0,33.0
947,109.125,82.5,92.0
948,54.513,37.612,70.0
949,40.875,28.75,37.0
950,45.5,34.625,60.0
951,44.875,32.208,50.0
952,48.75,41.625,48.0
953,44.833,33.875,46.0
954,43.375,28.125,52.0
955,21.597,18.153,38.0
956,26.375,18.625,35.0
957,10.5,5.125,9.0
958,25.625,23.653,40.0
959,32.208,26.0,28.0
960,19.0,16.375,24.0
961,21.375,16.75,39.0
962,20.625,14.875,23.0
963,36.875,25.875,66.0
964,6.375,4.5,4.0
965,23.319,16.806,21.0
966,22.375,14.625,26.0
967,35.125,29.975,50.0
968,62.375,58.281,79.0
969,17.875,10.6,16.0
970,33.625,22.0,38.0
971,61.5,35.416,104.0
972,6.75,6.75,13.0
973,69.25,54.583,65.0
974,81.875,56.5,99.0
975,22.625,15.208,31.0
976,18.125,12.0,19.0
977,19.25,13.5,24.0
978,38.0,29.708,27.0
979,61.875,48.5,61.0
980,30.75,16.875,21.0
981,36.875,30.125,35.0
982,29.375,21.875,30.0
983,46.75,34.736,75.0
984,35.625,34.225,61.0
985,38.0,25.875,42.0
986,29.625,21.875,23.0
987,46.375,32.375,62.0
